,alpha_kmeans,delta_kmeans,u_kmeans,g_kmeans,r_kmeans,i_kmeans,z_kmeans,redshift_kmeans
0,3,5,11,13,11,8,6,4
1,3,5,12,14,17,13,12,5
2,3,5,13,13,12,8,7,4
3,8,1,8,16,15,11,7,5
4,9,3,4,3,3,2,1,1
5,9,3,10,15,14,11,8,7
6,0,2,7,10,13,12,10,4
7,0,2,8,12,11,9,7,3
8,5,7,12,13,12,9,7,4
9,1,4,7,8,8,7,6,0
10,8,3,14,13,12,10,7,3
11,7,4,11,16,13,10,8,4
12,9,5,10,8,9,8,7,0
13,8,2,6,5,5,4,3,1
14,9,1,10,14,16,15,12,5
15,7,4,12,12,11,9,7,3
16,9,1,12,10,13,12,10,0
17,0,1,5,8,11,10,9,9
18,0,1,7,9,10,10,8,0
19,4,9,5,5,5,4,3,1
20,4,9,8,9,8,6,5,2
21,3,7,12,13,13,10,7,0
22,3,7,13,9,9,8,7,4
23,3,7,7,11,14,14,11,9
24,7,4,3,3,4,3,3,0
25,3,1,6,9,7,16,5,2
26,3,1,14,10,9,7,5,3
27,3,1,13,13,14,11,9,4
28,8,1,5,6,6,5,4,1
29,8,1,5,5,4,3,2,1
30,7,3,12,8,7,5,4,2
31,7,4,9,12,12,10,8,3
32,7,7,11,14,14,10,8,4
33,0,2,7,10,13,12,10,7
34,3,2,9,11,10,8,7,3
35,1,1,11,14,13,9,7,4
36,3,1,11,14,13,10,8,3
37,3,7,6,6,5,4,3,1
38,3,5,6,12,19,14,13,0
39,2,6,8,10,9,7,5,2
40,5,6,6,7,9,8,7,0
41,3,3,13,13,15,12,10,5
42,4,5,10,8,8,6,5,2
43,8,3,15,13,12,9,7,3
44,5,2,8,12,10,7,5,4
45,9,4,8,8,9,8,7,0
46,1,1,9,13,16,14,11,6
47,6,2,8,11,15,14,11,11
48,9,1,7,11,14,13,11,7
49,2,4,12,10,9,7,6,2
50,2,4,9,8,8,6,5,2
51,4,4,7,11,15,14,11,6
52,9,1,9,14,17,14,10,5
53,9,2,9,12,11,8,6,3
54,0,2,8,8,7,6,4,2
55,2,4,7,11,15,12,8,0
56,0,3,9,13,11,9,7,3
57,7,4,6,5,4,3,2,1
58,7,5,13,12,10,8,6,3
59,7,4,12,11,9,7,6,3
60,6,5,9,8,7,5,4,2
61,7,3,13,11,12,10,9,4
62,7,4,3,4,5,4,3,1
63,5,5,8,9,8,6,6,2
64,7,4,13,12,12,9,7,3
65,7,3,6,5,5,3,2,1
66,6,5,4,4,5,4,3,1
67,7,3,8,7,6,5,4,2
68,7,4,14,12,10,8,6,3
69,8,3,9,12,13,10,9,4
70,8,3,8,6,6,4,3,1
71,4,8,7,11,15,14,12,9
72,3,7,6,9,12,12,9,6
73,2,1,2,3,3,2,2,1
74,0,2,5,8,10,10,9,5
75,0,2,9,10,12,12,10,0
76,8,1,12,17,18,15,13,4
77,9,0,11,9,9,7,5,3
78,1,4,11,13,10,6,3,0
79,2,5,12,10,10,8,6,2
80,9,4,9,13,16,15,12,7
81,3,1,14,13,12,10,8,3
82,5,6,13,14,15,12,9,0
83,5,6,10,12,15,15,13,10
84,3,2,10,10,11,8,6,4
85,5,2,5,7,9,8,7,10
86,5,5,6,10,10,9,7,3
87,3,7,5,8,11,11,9,10
88,3,8,8,8,8,6,5,2
89,7,4,8,9,10,9,8,0
90,4,3,6,6,7,7,6,0
91,2,2,12,16,17,9,5,0
92,5,2,14,14,12,10,7,3
93,4,5,12,9,8,6,5,2
94,0,3,10,12,12,10,8,3
95,9,4,11,14,15,12,9,4
96,1,5,7,5,4,3,2,0
97,4,2,13,12,15,14,11,0
98,7,1,6,8,11,11,9,10
99,1,1,14,13,11,9,7,3
100,0,0,8,13,12,10,7,3
101,3,1,8,11,12,10,8,4
102,3,4,11,14,13,9,7,4
103,3,5,7,7,6,5,4,1
104,3,5,13,18,16,12,9,5
105,3,5,9,13,13,10,8,4
106,3,5,7,6,5,4,3,1
107,0,2,5,8,9,9,8,7
108,0,2,7,9,11,11,9,5
109,7,4,1,1,2,1,1,1
110,0,2,12,13,13,10,7,3
111,0,2,12,9,8,6,5,2
112,5,7,7,8,10,7,8,1
113,0,1,10,14,15,13,11,4
114,8,1,10,14,17,14,12,5
115,7,3,8,11,9,7,6,2
