alpha_freq,delta_kmeans,u_width,g_freq,r_freq,i_width,z_width,redshift_width
3,5,17,32,29,3,3,4
4,5,19,36,50,4,4,5
4,5,20,35,32,3,3,4
11,1,14,39,44,3,3,6
11,3,9,3,2,1,1,0
11,3,17,38,41,3,3,9
1,2,13,21,36,3,3,3
0,2,14,29,28,3,3,3
7,7,18,32,32,3,3,4
1,4,13,14,18,2,2,0
10,3,21,34,32,3,3,3
9,4,17,39,37,3,3,3
11,5,16,14,20,3,3,0
10,2,12,9,8,1,1,1
11,1,16,36,48,4,4,5
9,4,19,30,29,3,3,3
11,1,19,23,37,3,3,0
0,1,11,16,27,3,3,13
0,1,14,16,23,3,3,0
5,9,11,9,9,1,1,0
5,9,14,18,17,2,2,2
4,7,19,32,36,3,3,0
4,7,20,18,21,2,3,4
4,7,13,24,40,4,4,13
9,4,8,3,5,1,1,0
3,1,13,16,13,5,2,1
4,1,21,22,21,2,2,3
3,1,20,33,42,3,3,4
10,1,11,9,12,2,2,0
10,1,10,7,6,1,1,1
10,3,18,15,14,2,2,2
9,4,16,29,35,3,3,3
10,7,17,36,41,3,3,4
1,2,14,22,40,4,4,9
4,2,16,25,25,3,3,3
1,1,17,36,37,3,3,3
3,1,18,37,39,3,3,3
3,7,12,9,10,1,1,1
3,5,11,31,50,4,5,0
2,6,15,21,20,2,2,2
6,6,12,13,19,2,3,0
4,3,21,33,46,4,3,5
5,5,16,15,16,2,2,1
10,3,23,34,32,3,3,3
6,2,14,28,23,2,2,3
11,4,15,14,19,2,3,0
1,1,15,32,49,4,4,6
8,2,15,26,44,4,4,17
11,1,14,27,42,4,4,8
3,4,19,21,21,2,2,2
3,4,16,16,16,2,2,2
5,4,13,26,44,4,4,6
11,1,16,37,50,4,4,5
11,2,15,32,26,3,2,3
0,2,14,14,15,2,2,1
2,4,14,25,47,3,3,0
0,3,15,32,30,3,3,3
9,4,12,8,7,1,1,1
9,5,21,31,25,3,2,3
9,4,19,25,22,2,2,2
8,5,15,14,14,2,2,1
10,3,20,26,35,3,3,3
9,4,9,5,8,1,1,0
6,5,14,18,17,2,2,2
9,4,20,31,32,3,3,3
10,3,11,9,7,1,1,1
8,5,9,5,8,1,1,0
10,3,14,12,12,2,2,1
9,4,21,28,25,3,2,3
11,3,15,29,39,3,3,4
10,3,14,11,12,2,1,1
5,8,14,25,46,4,4,12
4,7,12,17,31,3,3,6
2,1,8,2,3,1,1,0
0,2,11,15,26,3,3,5
0,2,16,19,34,3,3,0
11,1,18,40,50,4,4,4
11,0,18,17,20,2,2,3
2,4,17,35,22,2,1,0
2,5,19,22,22,2,2,2
11,4,15,33,48,4,4,9
3,1,21,32,35,3,3,3
6,6,20,37,44,3,3,0
6,6,16,30,46,4,5,14
3,2,16,23,28,3,2,4
7,2,10,12,19,3,3,15
6,5,13,21,25,3,3,3
3,7,11,15,26,3,3,14
4,8,14,16,16,2,2,2
10,4,14,17,24,3,3,0
5,3,11,11,15,2,2,0
2,2,19,40,50,3,2,0
6,2,22,36,35,3,3,3
5,5,18,17,16,2,2,2
0,3,17,30,35,3,3,3
11,4,18,37,46,3,3,4
1,5,14,8,6,1,1,0
5,2,20,29,46,4,4,0
9,1,12,16,28,3,3,14
1,1,21,33,30,3,3,3
1,0,15,33,32,3,3,3
4,1,15,26,33,3,3,4
3,4,17,36,37,3,3,4
3,5,13,12,12,2,2,1
4,5,20,40,48,4,3,5
3,5,15,34,39,3,3,4
3,5,13,11,10,1,1,1
0,2,11,15,20,3,3,8
0,2,13,18,28,3,3,5
9,4,6,1,1,0,1,0
0,2,19,32,37,3,3,3
1,2,19,18,16,2,2,2
7,7,13,14,22,2,3,1
0,1,16,35,45,4,4,4
10,1,17,37,49,4,4,5
10,3,14,23,21,2,2,2
11,2,13,17,31,3,3,15
6,8,14,17,26,3,3,0
10,3,20,33,34,3,3,3
11,1,15,34,47,4,4,7
1,2,19,33,35,3,3,3
10,4,14,15,21,3,3,0
3,6,15,32,35,3,3,4
10,3,19,40,46,3,3,4
10,3,15,34,43,3,3,4
4,3,7,5,10,2,2,7
5,3,9,4,5,1,1,0
0,3,16,20,18,2,2,2
11,1,13,14,15,2,2,1
10,1,11,10,14,2,2,0
11,1,19,35,44,3,3,3
4,4,9,3,4,1,1,0
4,4,8,8,13,2,2,2
8,8,13,14,13,2,2,2
8,1,23,23,22,2,2,3
8,1,15,24,21,2,2,2
0,3,16,31,32,3,3,3
0,3,17,23,22,2,2,3
1,1,16,37,50,4,4,6
5,8,14,13,13,2,2,2
5,3,8,4,7,1,1,0
0,2,16,28,48,4,4,15
10,3,14,12,12,1,1,0
4,1,17,34,39,3,3,4
4,1,10,6,7,1,1,0
3,4,20,28,21,2,2,3
3,5,10,6,11,2,2,0
5,4,20,29,27,2,2,0
7,1,22,28,26,3,3,2
8,1,11,9,8,1,1,1
0,3,18,36,34,3,3,3
10,5,6,1,1,1,1,0
9,4,18,21,20,2,2,2
11,3,21,37,38,3,3,4
6,8,11,16,28,3,3,11
4,7,19,24,30,3,3,0
11,3,16,29,30,3,3,4
11,3,20,36,40,3,3,3
11,3,24,35,37,3,3,3
5,1,15,25,42,4,4,0
11,3,15,38,47,3,3,4
1,2,9,4,4,1,1,0
3,6,15,33,40,3,3,4
2,4,10,8,8,1,1,1
3,6,9,2,1,1,0,0
2,4,21,35,39,3,3,4
3,2,16,35,37,3,2,0
0,0,24,33,35,3,3,4
0,0,14,17,17,2,2,2
11,1,15,29,46,4,5,3
7,2,8,4,9,2,2,0
5,4,11,13,22,3,3,15
