alpha_width_kmeans,delta_freq_freq,u_freq_freq,g_freq_freq,r_width_kmeans,i_kmeans_width,z_width_freq,redshift_kmeans_freq
3,6,38,20,6,29,2,4
3,6,42,22,7,47,2,4
3,7,44,21,6,29,2,4
7,1,24,24,7,40,2,4
7,5,6,2,1,7,0,1
7,5,35,23,6,40,2,5
0,3,19,13,6,44,2,4
0,3,25,18,6,33,2,3
4,9,40,20,6,33,2,4
0,6,21,9,4,25,1,0
7,4,46,21,6,36,2,3
5,5,37,24,6,36,2,4
7,6,33,9,4,29,2,0
7,3,15,6,2,14,0,1
7,1,33,22,7,55,2,4
5,5,43,18,6,33,2,3
7,2,41,14,6,44,2,0
0,2,12,10,6,36,2,5
0,2,21,10,4,36,2,0
3,9,13,6,2,14,0,1
3,9,24,11,3,22,1,2
3,9,41,20,6,36,2,0
3,9,45,11,4,29,2,4
3,9,21,15,6,51,2,5
5,6,3,2,2,11,0,0
2,2,17,10,3,58,1,2
3,2,47,14,4,25,1,3
3,2,45,20,6,40,2,4
7,1,13,6,3,18,1,1
7,1,11,4,2,11,0,1
5,4,40,9,3,18,1,2
5,6,32,18,6,36,2,3
5,9,37,22,6,36,2,4
0,3,22,14,6,44,2,5
3,2,30,15,4,29,2,3
0,2,37,22,6,33,2,4
3,2,39,23,6,36,2,3
3,9,14,6,2,14,0,1
3,7,14,19,9,51,2,0
2,8,26,13,4,25,1,2
4,8,17,8,4,29,2,0
3,4,45,20,7,44,2,4
3,7,34,9,3,22,1,2
7,4,48,21,6,33,2,3
4,3,25,17,4,25,1,4
7,5,26,9,4,29,2,0
0,2,29,20,7,51,2,4
5,3,26,16,7,51,2,5
7,2,22,17,6,47,2,5
2,6,43,13,4,25,1,2
2,6,31,10,3,22,1,2
3,6,20,16,7,51,2,4
7,1,31,23,8,51,2,4
7,3,29,20,4,29,1,3
0,3,25,9,3,22,1,2
2,6,21,15,7,44,2,0
0,4,29,20,6,33,2,3
5,6,14,5,2,11,0,1
5,7,45,19,4,29,1,3
5,6,43,15,4,25,1,3
5,7,30,9,3,18,1,2
5,4,44,16,6,36,2,4
5,6,5,3,2,14,0,1
4,7,24,11,3,22,1,2
5,6,44,19,6,33,2,3
5,4,14,6,2,11,0,1
5,7,7,3,2,14,0,1
5,4,23,7,3,18,1,2
