,alpha_freq,delta_width,u_freq,g_freq,r_width,i_freq,z_width,redshift_width
0,1,4,3,3,3,2,3,3
1,1,4,4,4,4,4,5,4
2,1,4,4,4,3,2,3,3
3,4,1,2,4,4,3,3,5
4,4,3,0,0,1,0,1,0
5,4,3,3,4,3,3,4,7
6,0,2,1,2,3,3,4,3
7,0,2,2,3,3,2,3,2
8,2,5,4,4,3,2,3,3
9,0,4,2,1,2,1,3,0
10,4,3,4,4,3,3,3,2
11,4,3,3,4,3,3,3,3
12,4,4,3,1,2,2,3,0
13,4,2,1,1,1,0,2,0
14,4,1,3,4,4,4,5,4
15,4,3,4,3,3,2,3,2
16,4,1,4,2,3,4,4,0
17,0,1,1,1,3,3,4,11
18,0,1,2,2,3,3,4,0
19,2,7,1,1,1,0,2,0
20,2,7,2,2,2,1,2,2
21,1,5,4,3,3,3,3,0
22,1,5,4,2,3,2,3,3
23,1,5,2,2,3,4,5,11
24,3,4,0,0,1,0,2,0
25,1,2,1,2,2,4,2,1
26,1,2,4,2,2,1,3,2
27,1,2,4,4,3,3,4,3
28,4,1,1,1,2,1,2,0
29,4,1,1,0,1,0,1,0
30,4,3,4,1,2,1,2,2
31,3,4,3,3,3,3,3,3
32,4,5,3,4,3,3,3,4
33,0,2,2,2,3,4,4,8
34,1,2,3,3,3,2,3,2
35,0,1,3,4,3,2,3,3
36,1,2,3,4,3,3,4,2
37,1,5,1,1,1,0,2,1
38,1,4,1,3,5,4,6,0
39,1,5,2,2,2,1,3,1
40,2,5,1,1,2,2,3,0
41,1,2,4,4,4,4,4,4
42,2,4,3,1,2,1,2,1
43,4,3,4,4,3,2,3,3
44,2,2,2,3,3,1,3,3
45,4,4,2,1,2,2,3,0
46,0,1,3,3,4,4,4,5
47,3,2,2,3,4,4,5,14
48,4,1,2,3,3,4,5,7
49,1,4,4,2,2,2,3,1
50,1,4,3,1,2,1,2,1
51,2,4,2,3,4,4,5,5
52,4,1,3,4,4,4,4,4
53,4,2,3,3,3,2,3,2
54,0,2,2,1,2,1,2,1
55,1,4,2,3,4,3,4,0
56,0,3,3,3,3,2,3,2
57,3,4,1,1,1,0,1,0
58,3,4,4,3,3,2,3,2
59,4,4,4,3,3,2,3,2
60,3,4,3,1,2,1,2,1
61,4,3,4,3,3,3,4,3
62,3,4,0,0,1,0,2,0
63,2,4,2,2,2,1,3,1
64,3,4,4,3,3,2,3,2
65,4,3,1,1,1,0,1,0
66,3,4,0,0,1,0,2,0
67,4,3,2,1,2,1,2,1
68,3,4,4,3,3,2,3,2
69,4,3,3,3,3,3,4,3
70,4,3,2,1,2,1,2,1
71,2,6,2,3,4,4,5,10
72,1,5,1,2,3,3,4,5
73,1,1,0,0,1,0,1,0
74,0,2,1,1,3,3,4,4
75,0,2,3,2,3,3,4,0
76,4,1,4,4,5,4,5,4
77,4,0,3,2,2,1,2,2
78,0,4,3,4,3,1,2,0
79,1,4,4,2,3,2,3,1
80,4,3,2,4,4,4,5,7
81,1,1,4,3,3,3,3,3
82,2,5,4,4,4,3,4,0
83,2,5,3,3,4,4,6,11
84,1,2,3,2,3,2,3,3
85,3,2,1,1,2,2,3,12
86,2,4,1,2,3,2,3,2
87,1,5,1,1,3,3,4,11
88,1,6,2,2,2,1,2,2
89,4,3,2,2,3,2,3,0
90,2,3,1,1,2,1,3,0
91,1,2,4,4,4,2,2,0
92,2,2,4,4,3,3,3,2
93,2,4,4,2,2,1,3,1
94,0,3,3,3,3,3,3,2
95,4,3,3,4,4,4,4,3
96,0,4,2,1,1,0,1,0
97,2,2,4,3,4,4,5,0
98,3,2,1,1,3,3,4,12
99,0,1,4,4,3,2,3,2
100,0,1,2,4,3,3,3,2
101,1,2,2,3,3,3,3,3
102,1,4,3,4,3,2,3,3
103,1,4,2,1,2,1,2,1
104,1,4,4,4,4,4,4,4
105,1,4,3,4,3,3,3,3
106,1,4,1,1,1,0,2,1
107,0,2,1,1,2,2,3,7
108,0,2,1,2,3,3,4,4
109,3,4,0,0,1,0,1,0
110,0,2,4,3,3,3,3,2
111,0,2,4,2,2,1,2,1
112,3,5,1,1,3,2,3,1
113,0,1,3,4,4,4,5,3
114,4,1,3,4,4,4,5,4
115,4,3,2,2,2,1,3,2
116,4,2,1,2,3,3,4,12
117,2,6,2,2,3,3,4,0
118,4,3,4,4,3,2,3,3
119,4,1,2,4,4,4,5,6
120,0,2,4,4,3,3,4,2
121,4,3,2,1,2,2,3,0
122,1,5,3,3,3,3,3,3
123,4,3,4,4,4,3,4,3
124,4,3,3,4,4,3,4,4
125,2,3,0,0,1,1,2,5
126,2,3,0,0,1,0,2,0
127,0,3,3,2,2,1,2,2
128,4,1,2,1,2,1,2,0
129,4,1,1,1,2,1,2,0
