alpha_freq,delta_freq,u_kmeans,g_kmeans,r_freq,i_kmeans,z_width,redshift_freq
3,6,11,13,29,8,3,24
4,6,12,14,50,13,4,27
4,7,13,13,32,8,3,24
11,1,8,16,44,11,3,28
11,5,4,3,2,2,1,11
11,5,10,15,41,11,3,30
1,3,7,10,36,12,3,23
0,3,8,12,28,9,3,18
7,9,12,13,32,9,3,25
1,6,7,8,18,7,2,4
10,4,14,13,32,10,3,18
9,5,11,16,37,10,3,23
11,6,10,8,20,8,3,5
10,3,6,5,8,4,1,12
11,1,10,14,48,15,4,27
9,5,12,12,29,9,3,19
11,2,12,10,37,12,3,1
0,2,5,8,27,10,3,32
0,2,7,9,23,10,3,1
5,10,5,5,9,4,1,10
5,10,8,9,17,6,2,16
4,9,12,13,36,10,3,3
4,9,13,9,21,8,3,25
4,9,7,11,40,14,4,32
9,6,3,3,5,3,1,7
3,2,6,9,13,16,2,14
4,2,14,10,21,7,2,18
3,2,13,13,42,11,3,23
10,1,5,6,12,5,2,10
10,1,5,5,6,3,1,12
10,4,12,8,14,5,2,16
9,6,9,12,35,10,3,21
10,9,11,14,41,10,3,26
1,3,7,10,40,12,4,31
4,2,9,11,25,8,3,20
1,2,11,14,37,9,3,23
3,2,11,14,39,10,3,20
3,9,6,6,10,4,1,12
3,7,6,12,50,14,5,7
2,8,8,10,20,7,2,15
6,8,6,7,19,8,3,5
4,4,13,13,46,12,3,27
5,7,10,8,16,6,2,14
10,4,15,13,32,9,3,22
6,3,8,12,23,7,2,23
11,5,8,8,19,8,3,3
1,2,9,13,49,14,4,29
8,3,8,11,44,14,4,33
11,2,7,11,42,13,4,30
3,6,12,10,21,7,2,15
3,6,9,8,16,6,2,15
5,6,7,11,44,14,4,29
11,1,9,14,50,14,4,27
11,3,9,12,26,8,2,19
0,3,8,8,15,6,2,14
2,6,7,11,47,12,3,4
0,4,9,13,30,9,3,21
9,6,6,5,7,3,1,12
9,7,13,12,25,8,2,20
9,6,12,11,22,7,2,17
8,7,9,8,14,5,2,14
10,4,13,11,35,10,3,23
9,6,3,4,8,4,1,10
6,7,8,9,17,6,2,15
9,6,13,12,32,9,3,20
10,4,6,5,7,3,1,12
8,7,4,4,8,4,1,9
10,4,8,7,12,5,2,14
9,6,14,12,25,8,2,19
11,4,9,12,39,10,3,25
10,4,8,6,12,4,1,13
5,10,7,11,46,14,4,32
4,9,6,9,31,12,3,29
2,2,2,3,3,2,1,9
