,alpha_kmeans,delta_kmeans,u_width,g_kmeans,r_freq,i_kmeans,z_kmeans,redshift_width
0,5,14,10,18,8,16,25,7
1,6,14,11,20,14,25,40,9
2,5,15,12,19,9,17,26,8
3,14,4,8,23,13,22,27,11
4,15,11,5,5,0,5,9,1
5,14,11,10,22,12,21,29,17
6,1,8,8,15,10,22,33,7
7,0,8,9,17,8,18,25,5
8,8,18,11,18,9,18,26,8
9,2,13,8,12,5,15,24,0
10,14,10,13,19,9,19,26,5
11,11,12,10,23,11,19,28,7
12,15,14,10,12,5,17,25,0
13,14,8,7,9,2,9,14,1
14,15,4,10,20,14,28,41,10
15,11,12,12,18,8,18,26,6
16,15,6,11,15,10,23,33,0
17,0,6,6,13,8,20,31,24
18,0,6,8,13,7,19,29,0
19,7,25,7,9,2,10,15,1
20,7,25,8,14,5,14,21,4
21,6,18,11,18,10,19,27,0
22,6,18,12,14,6,16,25,8
23,6,18,8,16,12,25,37,25
24,11,13,5,5,1,8,15,0
25,5,6,7,13,4,31,21,3
26,5,6,13,15,6,15,22,5
27,5,6,12,19,12,21,31,7
28,14,4,7,9,3,11,18,1
29,14,4,6,8,2,8,13,1
30,11,10,11,13,4,12,18,4
31,11,13,9,17,10,19,28,6
32,11,18,10,20,12,19,27,9
33,1,8,8,15,11,23,35,18
34,6,7,9,16,7,16,26,6
35,2,6,10,20,11,19,27,7
36,5,6,11,21,11,20,30,6
37,5,18,7,9,3,10,16,2
38,5,15,7,18,14,26,45,0
39,4,17,9,15,5,15,22,4
40,7,17,7,11,5,16,26,0
41,6,9,12,19,13,23,33,9
42,7,15,10,13,4,13,20,3
43,14,10,14,19,9,19,26,7
44,8,7,9,17,6,15,21,7
45,15,13,9,12,5,16,25,0
46,2,6,9,18,14,26,36,13
47,10,8,9,16,13,27,37,33
48,15,6,8,17,12,25,37,15
49,5,13,12,15,6,16,23,4
50,5,13,9,13,4,13,20,4
51,7,13,8,16,13,27,37,12
52,14,4,9,21,14,26,35,10
53,15,8,9,18,7,16,24,6
54,0,8,9,12,4,13,19,3
55,4,13,8,16,13,22,30,0
56,0,9,9,18,9,18,25,6
57,11,14,7,8,2,8,13,2
58,10,14,12,18,7,16,24,6
59,11,13,11,16,6,15,23,5
60,10,14,9,12,4,12,19,3
61,11,10,12,17,10,19,31,7
62,11,13,5,7,2,10,16,1
63,8,16,8,14,5,14,23,4
64,11,13,12,18,9,18,26,6
65,11,10,7,9,2,8,13,2
66,10,15,6,7,2,10,16,1
67,11,10,8,11,3,11,17,3
68,10,13,13,17,7,16,24,6
69,14,11,9,17,11,20,30,8
70,14,10,8,10,3,11,16,2
71,7,21,8,16,13,27,40,23
72,6,18,7,13,9,22,32,12
